log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
four_oh_four,3,404 Error,2015-11-14 21:11:41,2015-11-14 19:11:41,188.163.109.104,,,/admin.php,,query_string=
four_oh_four,3,404 Error,2015-11-15 01:17:07,2015-11-14 23:17:07,120.151.179.159,,,/apple-touch-icon-120x120-precomposed.png,,query_string=
four_oh_four,3,404 Error,2015-11-15 01:17:09,2015-11-14 23:17:09,120.151.179.159,,,/apple-touch-icon-120x120.png,,query_string=
four_oh_four,3,404 Error,2015-11-15 03:49:50,2015-11-15 01:49:50,212.117.170.192,,,/license.php,,query_string=
four_oh_four,3,404 Error,2015-11-15 13:02:57,2015-11-15 11:02:57,84.201.138.13,,,/author/feed/,,query_string=
four_oh_four,3,404 Error,2015-11-15 23:03:24,2015-11-15 21:03:24,221.1.215.138,,,/,http://www.selectsifiso.net/,query_string=p=39
four_oh_four,3,404 Error,2015-11-17 06:10:31,2015-11-17 04:10:31,23.96.201.105,,,http://www.selectsifiso.net/,http://www.selectsifiso.net/,query_string=p=82
four_oh_four,3,404 Error,2015-11-17 10:01:55,2015-11-17 08:01:55,180.140.111.160,,,/trackback/,http://www.selectsifiso.net/?p=578,query_string=
four_oh_four,3,404 Error,2015-11-17 12:03:34,2015-11-17 10:03:34,185.92.73.125,,,/halloween/js/mod.php,http://selectsifiso.net/halloween/js/mod.php,query_string=
four_oh_four,3,404 Error,2015-11-18 06:32:46,2015-11-18 04:32:46,188.163.110.121,,,/admin.php,,query_string=
four_oh_four,3,404 Error,2015-11-18 08:03:10,2015-11-18 06:03:10,122.96.59.106,,,http://www.selectsifiso.net/,http://www.selectsifiso.net/,query_string=p=337
four_oh_four,3,404 Error,2015-11-18 20:29:45,2015-11-18 18:29:45,168.1.5.196,,,/images/stories/nob0dy.gif,,query_string=
four_oh_four,3,404 Error,2015-11-18 20:30:05,2015-11-18 18:30:05,168.1.5.196,,,/tag/destination-component/images/stories/nob0dy.gif,,query_string=
four_oh_four,3,404 Error,2015-11-19 13:44:01,2015-11-19 11:44:01,180.120.168.136,,,/www.selectsifiso.net.rar,,query_string=
four_oh_four,3,404 Error,2015-11-19 13:44:16,2015-11-19 11:44:16,180.120.168.136,,,/www.selectsifiso.net.rar,,query_string=
four_oh_four,3,404 Error,2015-11-19 13:44:19,2015-11-19 11:44:19,180.120.168.136,,,/www.7z,,query_string=
four_oh_four,3,404 Error,2015-11-19 13:44:26,2015-11-19 11:44:26,180.120.168.136,,,/www.7z,,query_string=
four_oh_four,3,404 Error,2015-11-19 13:44:28,2015-11-19 11:44:28,180.120.168.136,,,/www.7z,,query_string=
four_oh_four,3,404 Error,2015-11-20 20:15:59,2015-11-20 18:15:59,166.216.165.60,,,/apple-touch-icon-120x120-precomposed.png,,query_string=
four_oh_four,3,404 Error,2015-11-20 20:16:03,2015-11-20 18:16:03,166.216.165.60,,,/apple-touch-icon-120x120.png,,query_string=
four_oh_four,3,404 Error,2015-11-20 20:17:06,2015-11-20 18:17:06,166.216.165.60,,,/apple-touch-icon-120x120-precomposed.png,,query_string=
four_oh_four,3,404 Error,2015-11-20 20:17:09,2015-11-20 18:17:09,166.216.165.60,,,/apple-touch-icon-120x120.png,,query_string=
four_oh_four,3,404 Error,2015-11-20 20:24:01,2015-11-20 18:24:01,166.216.165.60,,,/apple-touch-icon-120x120-precomposed.png,,query_string=
